ID,Location,Total Reviews,Review
938,Khaireni Hill Viewpoint,330,Panoramic viewpoint overlooking surrounding hills and valleys.
939,Dang Valley Minor Viewpoints,700,Scenic hills and valleys ideal for nature views.
940,Buddha Statue Viewpoint,750,Elevated spot offering great views of landscapes and statue.
941,Majhgaon Hill Lesser Viewpoints,1000,Small hilltop viewpoints with local scenic beauty.
942,Dang Offbeat Hilltop,980,Off-the-beaten-path location with panoramic views.
943,Jagatnagar Village,900,Rural settlement with traditional lifestyle.
944,Rupandehi Traditional Villages,500,Villages showcasing cultural heritage near Lumbini.
945,Ghodaghodi Lesser Villages,600,Small settlements near Ghodaghodi Lake with scenic surroundings.
946,Syangja Waterfall,369,Picturesque waterfall in Syangja district.
947,Mahendra Cave,700,Famous limestone cave with impressive stalactites.
948,Siddha Cave,500,"Large cave in Pokhara region, ideal for adventure tourists."
949,Pyuthan Micro Viewpoint,400,Scenic hill viewpoint in Pyuthan district.
950,Pyuthan,450,District town with cultural and natural attractions.
951,Bardiya,650,Gateway to Bardiya National Park with wildlife opportunities.
952,Dang,900,"Valley district with agriculture, rivers, and hill views."
953,Kothi River,875,Scenic river in Dang offering fishing and natural beauty.
954,Gaidahawa Lake,123,Tranquil lake ideal for birdwatching and relaxation.
955,Kothi Minor Temples,258,Small temples with cultural significance in Dang.
956,Ghodaghodi Lake,159,Beautiful freshwater lake with diverse wildlife.
957,Devdaha Ancient Monuments Minor Sites,357,Historical Buddhist sites in Rupandehi.
958,Tansen Lesser Waterfalls,654,Hidden waterfalls around Tansen town.
959,Arghakhanchi,321,Hilly district with scenic landscapes and cultural sites.
960,Kapilvastu,987,Birthplace of Lord Buddha with historical monuments.
961,Rupandehi,654,"District with Lumbini, cultural sites, and rural landscapes."
962,Palpa,125,"District with Tansen town, heritage, and hilltop views."
963,Bardiya Tiny Shrine,136,Small spiritual site within Bardiya National Park.
964,Dang Minor Temple,652,Small temple offering spiritual significance in Dang district.
965,Siddha Baba Temple (Butwal area),125,Popular local temple in Butwal with religious importance.
966,Tila Village (Rupandehi rural tourism example),136,Model rural tourism village with cultural experiences.
967,Rupandehi Cultural Sites (Siddharthanagar),652,Historic temples and monasteries around Siddharthanagar.
968,Kapilvastu (Tilaurakot),250,Archaeological site marking Lord Buddha’s early life.
969,Bardiya National Park,350,"Wildlife sanctuary home to tigers, rhinos, and diverse fauna."
970,Tansen (Palpa),330,Heritage town with traditional architecture and scenic hills.
971,Lumbini (Mayadevi Temple),700,"Sacred site of Lord Buddha’s birth, UNESCO World Heritage."
972,Lumbini Sacred Garden,750,Peaceful garden complex surrounding Mayadevi Temple.
973,Ramgram Stupa,1000,Ancient Buddhist stupa with cultural and historical significance.
974,Devdaha Minor Monuments,980,Archaeological remains linked to Buddha’s life.
975,Lumbini,900,Spiritual and cultural hub for pilgrims and tourists.
976,Majhgaon Waterfall,500,Scenic waterfall in rural Palpa district.
977,Tilaurakot Palace Ruins,600,Archaeological ruins of ancient palace of Kapilvastu.
978,Chitwan Riverbank Minor Spots,369,Riverside areas with local wildlife and natural beauty.
979,Barahi Temple,700,Hindu temple dedicated to Goddess Barahi.
980,Tinau River,500,"Scenic river flowing through western Nepal, ideal for fishing and recreation."
981,Butwal Cultural Area,400,Town area with local heritage and cultural attractions.
982,Maya Devi Temple,450,Sacred temple marking Lord Buddha’s birthplace in Lumbini.
983,Puskharni Pond,650,Historical pond near Lumbini temple complex.
984,Arghakhanchi,900,Hilly district with cultural and natural attractions.
985,Barahi Temple,875,Hindu temple in local community with religious importance.
986,Bardiya,123,"Gateway to national park, known for wildlife and natural scenery."
987,Bardiya National Park,258,"Protected park with rich flora and fauna, ideal for safaris."
988,Bardiya Tiny Shrine,159,Small temple offering local spiritual significance.
989,Buddha Statue Viewpoint,357,Elevated location with panoramic views and Buddha statue.
990,Butwal Cultural Area,654,Town hub with heritage sites and cultural vibrancy.
991,Chitwan Riverbank Minor Spots,321,Serene riverside areas with wildlife and scenic views.
992,Dang,987,Fertile valley district with rich culture and natural beauty.
993,Dang Minor Temple,654,Small temples offering local spiritual significance.
994,Dang Offbeat Hilltop,125,Hidden hilltop spot with panoramic views.
995,Dang Valley Minor Viewpoints,136,Scenic vantage points across Dang Valley.
996,Devdaha Ancient Monuments Minor Sites,652,Historical Buddhist sites linked to Lord Buddha.
997,Devdaha Minor Monuments,654,Small archaeological sites with cultural importance.
998,Gaidahawa Lake,321,Peaceful lake ideal for birdwatching and relaxation.
999,Ghodaghodi Lake,987,Natural freshwater lake with rich biodiversity.
1000,Ghodaghodi Lesser Villages,654,Small settlements with rural charm near Ghodaghodi Lake.
1001,Jagatnagar Village,125,Traditional village with local culture and serene landscapes.
1002,Kapilvastu,136,"Historical district, birthplace of Lord Buddha."
1003,Kapilvastu (Tilaurakot),652,Archaeological site of ancient palace of Lord Buddha.
1004,Khaireni Hill Viewpoint,250,Scenic hilltop with panoramic valley views.
1005,Kothi Minor Temples,350,Small temples with local spiritual significance.
1006,Kothi River,330,Scenic river flowing through Dang with recreational opportunities.
1007,Lumbini,700,UNESCO World Heritage site and birthplace of Lord Buddha.
1008,Lumbini (Mayadevi Temple),750,Sacred temple marking Buddha’s birthplace.
1009,Lumbini Sacred Garden,1000,Peaceful garden complex surrounding Mayadevi Temple.
1010,Lumbini Village Lesser Temples,980,Smaller temples showcasing local religious practices.
1011,Mahendra Cave,900,Limestone cave with impressive stalactites near Pokhara.
1012,Majhgaon Hill Lesser Viewpoints,500,Small hilltop spots with panoramic views.
1013,Majhgaon Waterfall,600,Picturesque waterfall surrounded by lush greenery.
1014,Maya Devi Temple,369,Important temple in Lumbini marking Buddha’s birth.
1015,Palpa,700,"Hilly district known for Tansen, heritage, and scenic landscapes."
1016,Puskharni Pond,500,Historical pond near Lumbini temple complex.
1017,Pyuthan,400,"Rural district with hills, rivers, and cultural attractions."
1018,Pyuthan Micro Viewpoint,450,Small scenic viewpoint in Pyuthan district.
1019,Ramgram Stupa,650,Ancient Buddhist stupa with historical and spiritual importance.
1020,Rupa Lake (near Pokhara / boundary),900,Quiet lake popular for boating and relaxation.
1021,Rupandehi,875,District with Lumbini and rural cultural sites.
1022,Rupandehi Cultural Sites (Siddharthanagar),123,Heritage temples and monasteries in Siddharthanagar.
1023,Rupandehi Traditional Villages,258,Villages showcasing rural culture near Lumbini.
1024,Siddha Baba Temple (Butwal area),159,Popular local temple with religious importance.
1025,Siddha Cave,357,"Large cave in Pokhara region, ideal for exploration."
1026,Syangja Waterfall,654,Scenic waterfall set amidst lush hills.
1027,Tansen,654,Heritage hill town with Newari architecture and cultural richness.
1028,Tansen (Palpa),321,"Town famous for traditional streets, culture, and hill views."
1029,Tansen Lesser Waterfalls,987,Small hidden waterfalls around Tansen.
1030,Tila Village (Rupandehi rural tourism example),654,Example of rural tourism with cultural experiences.
1031,Tilaurakot Palace Ruins,125,Archaeological site of ancient palace of Lord Buddha.
1032,Tinau River,136,Scenic river ideal for recreation and fishing.
1033,Kamal Pokhari,652,Serene pond surrounded by natural beauty.
1034,Kamal Dah,250,Small water body popular for local visitors.
1035,Deurali Cave,350,Limestone cave offering exploration and adventure.
1036,Jogidanda,330,Quiet hillside village with rural charm.
1037,Rangsi,700,Peaceful rural settlement with scenic landscapes.
1038,Jang,750,Remote village known for natural beauty and traditional lifestyle.
1039,Hukam,1000,Small village with local culture and agricultural fields.
1040,Sundah,980,Rural hill settlement surrounded by forested areas.
1041,Sisne,900,Village with panoramic hilltop views and tranquility.
1042,Thawang,500,Traditional settlement in hilly terrain with cultural significance.
1043,Rujikhola,600,Scenic river with surrounding natural landscapes.
1044,Naribang,369,Rural village with serene environment and local life.
1045,Tulsipur,700,Town in Dang Valley with cultural and commercial significance.
1046,Beljhundi,500,Quiet rural settlement with natural surroundings.
1047,Dudhras,400,Small village with agricultural landscapes.
1048,Khaira,450,Hilltop settlement offering picturesque views.
1049,Bangaun,650,Traditional village with local culture and peaceful surroundings.
1050,Narayanpur,900,Riverside village with scenic landscapes.
1051,Nayagaun,875,Rural village with hill and farmland views.
1052,Okharkot,123,Historic village with fort ruins and panoramic views.
1053,Bandikot,258,Hilly settlement with traditional lifestyle and scenic charm.
1054,Mayalpokhari,159,Tranquil pond with surrounding natural beauty.
1055,Sirseni,357,Small village with peaceful rural environment.
1056,Dhamir,654,Remote settlement with serene landscapes.
1057,Arje,1000,Rural village with agricultural and scenic surroundings.
1058,Chhapahile,980,Quiet village offering panoramic hill views.
1059,Neta,900,Rural settlement with hills and farmland.
1060,Gwalichaur,500,Village with traditional lifestyle and scenic backdrop.
1061,Malagiri,600,Hilly region with forests and scenic vistas.
1062,Narikot,369,Hilltop village with fortress ruins and mountain views.
1063,Majhakot,700,Remote hilly settlement with natural beauty.
1064,Loharpani,500,Small village with water resources and rural charm.
1065,Syuja,400,Rural village surrounded by hills and farmlands.
1066,Tripur,450,Hilly settlement with peaceful rural lifestyle.
1067,Manpur,650,Quiet village with scenic views of surrounding hills.
1068,Phulbari,900,Rural village with flower fields and natural scenery.
1069,Goltakuri,875,Small settlement with agricultural landscape.
1070,Bejapur,123,Peaceful rural village with natural surroundings.
1071,Narainapur,258,Village with traditional houses and local culture.
1072,Matahiya,159,Rural settlement with greenery and tranquility.
1073,Gangapur,357,Small town with cultural and local significance.
1074,Holiya,654,Village with hills and rivers nearby.
1075,Betahani,321,Rural area with natural landscapes and farming fields.
1076,Puraina,987,Peaceful settlement with traditional lifestyle.
1077,Nepalgunj,654,Commercial city near the Indian border with cultural diversity.
1078,Kalika,125,Village with temple and hilltop views.
1079,Munalbasti,136,Rural settlement with agricultural surroundings.
1080,Ganeshpur,652,Village with temple dedicated to Lord Ganesh.
1081,Mahamadpur,250,Rural area with agricultural fields and small settlements.
1082,Gulariya,350,Town near Bardiya National Park with local commerce.
1083,Aashapur Pakadia,330,Small village with scenic countryside.
1084,Bansagadhi,700,Town with natural surroundings and access to rivers.
1085,Baniyabhar,750,Village with agricultural land and rural charm.
1086,Padanaha,1000,Quiet riverside settlement.
1087,Bela,980,Village with serene environment and farmland.
1088,Dhodhari,900,Hilly village with peaceful surroundings.
1089,Suryapatawa,500,Rural area with hills and rivers nearby.
1090,Khairi Chandanpur,600,Settlement with cultural significance and rural landscape.
1091,Manau,369,Small town with local culture and peaceful rural surroundings.
1092,Kohalpur,700,Busy town in Banke district with local markets and connectivity.
1093,Babai,500,Riverside area known for natural beauty and serene environment.
1094,Kabhrechaur,400,Hilly village with traditional lifestyle and scenic views.
1095,Sahare,450,Rural settlement surrounded by farmland and greenery.
1096,Dasarathpur,650,Small village with cultural significance and local charm.
1097,Ramghat,900,Riverside area ideal for relaxation and local fishing.
1098,Satakhani,875,Hill village with panoramic views of surrounding valleys.
1099,Uttarganga,123,Village with agricultural landscapes and rural tranquility.
1100,Hariharpur,258,Traditional settlement with local temples and farmland.
1101,Ranighat,159,Historical site with ruins and scenic landscapes.
1102,Sunwal,357,Town with cultural sites and access to nearby rivers.
1103,Siddharthanagar,654,Gateway to Lumbini with commercial and cultural attractions.
1104,Bisunpura,321,Quiet village with lush greenery and agricultural fields.
1105,Rudrapur,987,Riverside village with small temples and local markets.
1106,Balarampur,654,Rural town with traditional lifestyle and hill views.
1107,Limi,125,Remote Himalayan valley with stunning landscapes and Tibetan culture.
1108,Hepka,136,Small high-altitude village with traditional Tibetan lifestyle.
1109,Muchu,652,Remote settlement with trekking access and Himalayan scenery.
1110,Simikot,250,Gateway to Humla trekking region with local markets and mountains.
1111,Raha,350,Small Himalayan village with serene surroundings.
1112,Bhandarlek,330,"Village with rivers and farmland, ideal for rural exploration."
1113,Kharpunath,700,Remote hilly settlement near the Tibetan border.
1114,Mangri,750,Peaceful village with traditional culture and mountain views.
1115,Mugu,500,District known for Rara Lake and high-altitude landscapes.
1116,Shreenagar,400,Rural settlement with local culture and farmland.
1117,Maila,450,Small village in hilly terrain with traditional lifestyle.
1118,Birat,650,Scenic village with agricultural landscapes.
1119,Kalai,900,Rural settlement with rivers and traditional culture.
1120,Rara,875,"Famous for Rara Lake, the largest lake in Nepal, and surrounding national park."
1121,Chandannath,123,Town near Rara Lake with local market and traditional charm.
1122,Shey Phoksundo NP,258,Stunning national park with turquoise lakes and Himalayan peaks.
1123,Kanjeralwa,159,Remote area with traditional village life and mountain views.
1124,Phoksundo,357,Beautiful lake area within Shey Phoksundo National Park.
1125,Dho,654,Small village with scenic surroundings in Dolpa district.
1126,Lawan,321,Hilltop settlement with panoramic mountain views.
1127,Jufai,987,Quiet village surrounded by forests and hills.
1128,Dunai,654,District headquarters of Dolpa with cultural and natural attractions.
1129,Hiunchuli,125,Himalayan peak offering trekking and mountaineering experiences.
1130,Sakala,136,Village with traditional lifestyle and natural scenery.
1131,Guthichaur,652,Rural settlement with hilly terrain and local culture.
1132,Manma,250,Administrative center of Kalikot district with markets and local services.
1133,Saldang,350,Remote high-altitude village with Tibetan culture.
1134,Tinje,330,Himalayan village with trekking access and scenic landscapes.
1135,Bhalu Lek,700,Small settlement with forests and mountain views.
1136,Dullu,750,Historic town with cultural significance and hilltop views.
1137,Narayan Municipality,1000,District headquarters with temples and local markets.
1138,Daha,980,Village with serene rural landscapes.
1139,Hiunchuli Patan,900,Scenic settlement near Hiunchuli peak.
1140,Khalanga,500,District headquarters with administrative and cultural importance.
1141,Jhula,600,Riverside village with scenic views and local life.
1142,Sima,369,Hilltop settlement with traditional Himalayan culture.
1143,Birendranagar,700,Capital of Surkhet district with markets and access to hills.
1144,Babiyachaur,500,Rural village with peaceful surroundings.
1145,Sharada,400,"Village with forests, hills, and local culture."
1146,Bulbule Lake,450,Picturesque lake near Pokhara popular for relaxation.
1147,Sinja Valley,650,Historic valley known as the birthplace of the Nepali language.
1148,Panchakoshi Area,900,Sacred pilgrimage route with religious significance.
1149,Kakrebihar,875,Ancient Buddhist monastery with historic architecture.
1150,Bheri River,123,Scenic river ideal for rafting and fishing.
1151,Chhayanath Rara,258,Gateway area to Rara Lake with cultural and natural attractions.
1152,Mount Kanjiroba,159,Majestic Himalayan peak popular among trekkers.
1153,Putha Hiunchuli,357,Challenging Himalayan peak with stunning views.
1154,Kande Hiun Chuli,654,Remote mountain peak with trekking opportunities.
1155,Chankheli Peak,321,Himalayan mountain peak offering adventure trekking.
1156,Changdi (Lalung),987,Hilly settlement near trekking trails.
1157,Kubi Gangri (Kanti Himal),654,High-altitude Himalayan peak for mountaineering.
1158,Fimkof,125,Remote village in Dolpa with Tibetan influence.
1159,Phoksundo,136,Crystal-clear lake within Shey Phoksundo National Park.
1160,Kanjiroba,652,High-altitude region with rugged landscapes and trekking routes.
1161,Patmara,250,Small village with traditional lifestyle.
1162,Mugu,350,District headquarters near Rara Lake with local markets.
1163,Rara,330,Iconic lake with pristine beauty and surrounding national park.
1164,Chhoti Hill Viewpoint,700,Hidden hilltop offering panoramic views.
1165,Bajhang Offbeat Villages,750,Remote villages with untouched landscapes.
1166,Malika Historical Sites,1000,Ancient monuments with cultural significance.
1167,Jhulaghat Small Temples,980,Riverside temples with spiritual importance.
1168,Chhoti Shivalaya Temple,900,Small Shiva temple amidst rural hills.
1169,Gauriganga Waterfall,500,Scenic waterfall with lush greenery.
1170,Doti Hidden Trails,600,Remote trekking trails with natural beauty.
1171,Rauteli Lake,369,"Serene lake in hilly terrain, perfect for relaxation."
1172,Kailali / Rupandehi,700,Terai districts with cultural diversity and markets.
1173,Doti,500,Hilly district with rural charm and scenic landscapes.
1174,Bajhang,400,Remote Himalayan district with natural beauty.
1175,Baitadi,450,Western hill district with traditional lifestyle and scenery.
1176,Khaptad Baba Ashram,650,– Spiritual site amidst Khaptad National Park.
1177,Jhulaghat (Mechinagar border area),900,Small town at the border with local trade.
1178,Ghodaghodi Tal,875,Large freshwater lake with diverse flora and fauna.
1179,Ninglashaini Temple,123,Local temple with religious significance.
1180,Badimalika Temple,258,Sacred temple perched on a hilltop in western Nepal.
1181,Khaptad Top View,159,Hilltop viewpoint within Khaptad National Park.
1182,Jhulaghat River Viewpoint,357,Scenic riverside spot at the border.
1183,Mahakali River Minor Spots,654,Peaceful riverside locations for relaxation.
1184,Doti Tiny Hilltop Viewpoint,321,Small viewpoint offering panoramic hill views.
1185,Gauriganga River Upper Trek Sites,987,Trekking route along Gauriganga River.
1186,Bajhang Hidden Stream,654,Secluded stream with natural beauty.
1187,Far Western Cultural Circuit (Doti/Accham sites),125,Cultural trail showcasing heritage sites.
1188,Api Nampa Conservation Area,136,Protected Himalayan area with rich biodiversity.
1189,Shuklaphanta National Park,652,Wildlife sanctuary with grasslands and rare species.
1190,Khaptad National Park (western edge),250,"Forested park with diverse flora, fauna, and cultural sites."
1191,Api Himal Base Camp,350,Remote Himalayan base camp with breathtaking mountain views.
1192,Baitadi Micro Temple,330,Small local temple reflecting traditional Baitadi culture.
1193,Lesser Tributaries & Streams,700,Serene natural waterways ideal for peaceful exploration.
1194,Tripura Sundari Temple,750,Sacred Hindu temple attracting devotees and pilgrims.
1195,Ramaroshan,1000,Scenic lake and plateau area with rich biodiversity.
1196,Khaptad Waterfalls,980,Beautiful waterfalls within Khaptad National Park.
1197,Dhangadhi,900,Major city in Far-Western Nepal with urban amenities.
1198,Api Himal Base Camp,500,"Protected Himalayan region rich in flora, fauna, and trekking routes."
1199,Api Nampa Conservation Area,600,Hilltop temple with spiritual significance and scenic surroundings.
1200,Badimalika Temple,369,Western hilly district with cultural heritage and natural beauty.
1201,Baitadi,700,Small local shrines with traditional architecture.
1202,Baitadi Micro Temple,500,Remote district with rugged terrain and Himalayan scenery.
1203,Baitadi Minor Temples,400,Secluded stream amidst untouched nature.
1204,Bajhang,450,Remote villages with authentic local culture.
1205,Bajhang Hidden Stream,650,Small hilltop offering panoramic views of the surroundings.
1206,Bajhang Offbeat Villages,900,Quiet Shiva temple in a peaceful hilly location.
1207,Chhoti Hill Viewpoint,875,Historical western district with natural and cultural attractions.
1208,Chhoti Shivalaya Temple,123,Secluded trekking routes with scenic landscapes.
1209,Dhangadhi,258,Compact viewpoint with sweeping valley views.
1210,Doti,159,"Cultural trail showcasing temples, villages, and traditions."
1211,Doti Hidden Trails,357,Trekking along scenic riverbanks with Himalayan backdrops.
1212,Doti Tiny Hilltop Viewpoint,654,Picturesque waterfall ideal for nature lovers.
1213,Far Western Cultural Circuit (Doti/Accham sites),321,Expansive freshwater lake with birdwatching opportunities.
1214,Gauriganga River Upper Trek Sites,987,Small border town with riverside and trade activity.
1215,Gauriganga Waterfall,654,Scenic riverside spot at the border area.
1216,Ghodaghodi Tal,125,Local temples with traditional architecture and serene surroundings.
1217,Jhulaghat (Mechinagar border area),136,Terai districts with cultural diversity and fertile landscapes.
1218,Jhulaghat River Viewpoint,652,Spiritual site amidst Khaptad National Park’s natural beauty.
1219,Jhulaghat Small Temples,250,Forested park rich in biodiversity and scenic trails.
1220,Kailali / Rupandehi,350,Hilltop viewpoint with panoramic vistas of the national park.
1221,Khaptad Baba Ashram,330,Peaceful river areas perfect for relaxation and nature walks.
1222,Khaptad National Park (western edge),700,Ancient monuments reflecting local history and heritage.
1223,Khaptad Top View,750,Sacred temple attracting local devotees.
1224,Khaptad Waterfalls,1000,"Tranquil lake surrounded by hills, ideal for picnics and photography."
1225,Lesser Tributaries & Streams,980,"Wildlife sanctuary with grasslands, forests, and rare species."
1226,Mahakali River Minor Spots,900,District headquarters with local markets and scenic surroundings.
1227,Malika Historical Sites,500,Small marketplace catering to local trade and daily needs.
1228,Ninglashaini Temple,600,Rural settlement with agricultural landscapes.
1229,Ramaroshan,369,Peaceful village with traditional rural lifestyle.
1230,Rauteli Lake,700,Remote hilly village with local culture.
1231,Shuklaphanta National Park,500,Scenic village with agricultural surroundings.
1232,Tripura Sundari Temple,400,Hilltop village with stunning Himalayan views.
1233,Dipayal Silgadhi,450,Village with temples and rural charm.
1234,Gobghat Bazzar,650,Small settlement with traditional lifestyle and farmland.
1235,Mathbora,900,Administrative center with local markets and services.
1236,Latamandau,875,Eastern town with commercial activity and cultural sites.
1237,Banedugri Sain,123,Hilly settlement with peaceful surroundings.
1238,Moi,258,Major river in western Nepal with scenic banks.
1239,Kailpalmandu,159,Sacred riverside area with religious importance.
1240,Ganeshpur,357,Hilltop temple attracting devotees and tourists.
1241,Malma,654,Local village with serene natural surroundings.
1242,Amargadhi,321,Majestic Himalayan peak ideal for trekking and mountaineering.
1243,Bhadrapur,987,Remote lake area surrounded by hills.
1244,Chipur,654,Sacred hilltop temple with panoramic mountain views.
1245,Mahakali,125,High-altitude region with strategic and scenic importance.
1246,Pancheshwar,136,Famous for the snow pattern resembling “Om” on the peak.
1247,Kailpal Temple,652,"Historic cave associated with sage Vyas, a spiritual pilgrimage site"
1248,Shibanath,250,Local village with serene natural surroundings.
1249,Saipal,350,Majestic Himalayan peak ideal for trekking and mountaineering.
1250,Khunka Daha,330,Remote lake area surrounded by hills.
1251,Badimalika,700,Sacred hilltop temple with panoramic mountain views.
1252,Kalapani,750,High-altitude region with strategic and scenic importance.
1253,Om Parvat Viewpoint,1000,Famous for the snow pattern resembling “Om” on the peak.
1254,Vyas Cave,980,"Historic cave associated with sage Vyas, a spiritual pilgrimage site"